DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Central,儲能(Energy Storage System),491.3,27.0,3.67,15.0,27.0,2.67,5.0
2025-07-09 09:30:00,Central,儲能(Energy Storage System),309.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:40:00,Central,儲能(Energy Storage System),310.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:50:00,Central,儲能(Energy Storage System),321.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:00:00,Central,儲能(Energy Storage System),330.3,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:10:00,Central,儲能(Energy Storage System),521.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:20:00,Central,儲能(Energy Storage System),504.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:30:00,Central,儲能(Energy Storage System),478.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:40:00,Central,儲能(Energy Storage System),478.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:50:00,Central,儲能(Energy Storage System),482.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:00:00,Central,儲能(Energy Storage System),454.7000000000001,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:10:00,Central,儲能(Energy Storage System),469.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:20:00,Central,儲能(Energy Storage System),464.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:30:00,Central,儲能(Energy Storage System),474.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:40:00,Central,儲能(Energy Storage System),316.5,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:50:00,Central,儲能(Energy Storage System),15.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:00:00,Central,儲能(Energy Storage System),0.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:10:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:20:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:30:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:40:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:50:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:00:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:10:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:20:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:30:00,Central,儲能(Energy Storage System),0.0,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:40:00,Central,儲能(Energy Storage System),156.5,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:50:00,Central,儲能(Energy Storage System),157.2,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 14:00:00,Central,儲能(Energy Storage System),304.9,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:10:00,Central,儲能(Energy Storage System),293.1,29.0,5.0,18.0,26.0,3.67,18.0
