DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Central,太陽能(Solar),0.0,27.0,3.67,15.0,27.0,2.67,5.0
2025-07-09 09:30:00,Central,太陽能(Solar),5.53,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:40:00,Central,太陽能(Solar),7.126,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:50:00,Central,太陽能(Solar),9.086,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:00:00,Central,太陽能(Solar),10.626,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:10:00,Central,太陽能(Solar),10.886,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:20:00,Central,太陽能(Solar),13.986,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:30:00,Central,太陽能(Solar),17.926,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:40:00,Central,太陽能(Solar),21.694000000000003,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:50:00,Central,太陽能(Solar),20.006,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:00:00,Central,太陽能(Solar),21.018,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:10:00,Central,太陽能(Solar),22.844,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:20:00,Central,太陽能(Solar),24.3,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:30:00,Central,太陽能(Solar),29.18,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:40:00,Central,太陽能(Solar),29.018,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:50:00,Central,太陽能(Solar),30.56,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:00:00,Central,太陽能(Solar),33.408,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:10:00,Central,太陽能(Solar),39.068,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:20:00,Central,太陽能(Solar),53.764,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:30:00,Central,太陽能(Solar),48.724,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:40:00,Central,太陽能(Solar),57.176,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:50:00,Central,太陽能(Solar),54.07,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:00:00,Central,太陽能(Solar),49.394,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:10:00,Central,太陽能(Solar),43.124,27.0,2.67,5.0,28.0,3.0,17.0
