DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Central,民營電廠-燃煤(IPP-Coal),1091.4,27.0,3.67,15.0,27.0,2.67,5.0
2025-07-09 09:30:00,Central,民營電廠-燃煤(IPP-Coal),1091.9,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:40:00,Central,民營電廠-燃煤(IPP-Coal),1091.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:50:00,Central,民營電廠-燃煤(IPP-Coal),1090.5,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:00:00,Central,民營電廠-燃煤(IPP-Coal),1089.5,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:10:00,Central,民營電廠-燃煤(IPP-Coal),1086.8000000000002,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:20:00,Central,民營電廠-燃煤(IPP-Coal),1090.6999999999998,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:30:00,Central,民營電廠-燃煤(IPP-Coal),1097.8000000000002,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:40:00,Central,民營電廠-燃煤(IPP-Coal),1092.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:50:00,Central,民營電廠-燃煤(IPP-Coal),1092.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:00:00,Central,民營電廠-燃煤(IPP-Coal),1088.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:10:00,Central,民營電廠-燃煤(IPP-Coal),1091.3,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:20:00,Central,民營電廠-燃煤(IPP-Coal),1091.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:30:00,Central,民營電廠-燃煤(IPP-Coal),1092.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:40:00,Central,民營電廠-燃煤(IPP-Coal),1093.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:50:00,Central,民營電廠-燃煤(IPP-Coal),1094.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:00:00,Central,民營電廠-燃煤(IPP-Coal),1091.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:10:00,Central,民營電廠-燃煤(IPP-Coal),1089.5,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:20:00,Central,民營電廠-燃煤(IPP-Coal),1093.3000000000002,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:30:00,Central,民營電廠-燃煤(IPP-Coal),1088.9,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:40:00,Central,民營電廠-燃煤(IPP-Coal),1092.9,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:50:00,Central,民營電廠-燃煤(IPP-Coal),1097.4,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:00:00,Central,民營電廠-燃煤(IPP-Coal),1092.8,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:10:00,Central,民營電廠-燃煤(IPP-Coal),1099.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:20:00,Central,民營電廠-燃煤(IPP-Coal),1092.1999999999998,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:30:00,Central,民營電廠-燃煤(IPP-Coal),1094.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:40:00,Central,民營電廠-燃煤(IPP-Coal),1094.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:50:00,Central,民營電廠-燃煤(IPP-Coal),1093.8,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 14:00:00,Central,民營電廠-燃煤(IPP-Coal),1088.1,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:10:00,Central,民營電廠-燃煤(IPP-Coal),1092.0,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:20:00,Central,民營電廠-燃煤(IPP-Coal),1090.5,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:30:00,Central,民營電廠-燃煤(IPP-Coal),1090.4,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:40:00,Central,民營電廠-燃煤(IPP-Coal),1096.4,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:50:00,Central,民營電廠-燃煤(IPP-Coal),1093.2,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 15:00:00,Central,民營電廠-燃煤(IPP-Coal),1069.8,29.0,5.0,18.0,26.0,3.67,18.0
