DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Central,燃氣(LNG),2747.1,27.0,3.67,15.0,27.0,2.67,5.0
2025-07-09 09:30:00,Central,燃氣(LNG),2734.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:40:00,Central,燃氣(LNG),2756.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 09:50:00,Central,燃氣(LNG),2761.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:00:00,Central,燃氣(LNG),2757.4,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:10:00,Central,燃氣(LNG),2760.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:20:00,Central,燃氣(LNG),2764.6,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:30:00,Central,燃氣(LNG),2754.2000000000003,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:40:00,Central,燃氣(LNG),2753.0,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 10:50:00,Central,燃氣(LNG),2753.8,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:00:00,Central,燃氣(LNG),2763.7000000000003,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:10:00,Central,燃氣(LNG),2759.5,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:20:00,Central,燃氣(LNG),2748.1,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:30:00,Central,燃氣(LNG),2745.9,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:40:00,Central,燃氣(LNG),2740.7,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 11:50:00,Central,燃氣(LNG),2743.2,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:00:00,Central,燃氣(LNG),2706.5,29.33,3.33,17.0,27.0,2.67,5.0
2025-07-09 12:10:00,Central,燃氣(LNG),2713.2,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:20:00,Central,燃氣(LNG),2734.5,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:30:00,Central,燃氣(LNG),2729.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:40:00,Central,燃氣(LNG),2726.6,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 12:50:00,Central,燃氣(LNG),2726.9,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:00:00,Central,燃氣(LNG),2735.6,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:10:00,Central,燃氣(LNG),2742.1,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:20:00,Central,燃氣(LNG),2727.7,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:30:00,Central,燃氣(LNG),2739.4,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:40:00,Central,燃氣(LNG),2733.4,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 13:50:00,Central,燃氣(LNG),2745.7000000000003,27.0,2.67,5.0,28.0,3.0,17.0
2025-07-09 14:00:00,Central,燃氣(LNG),2733.3,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:10:00,Central,燃氣(LNG),2744.3,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:20:00,Central,燃氣(LNG),2740.2000000000003,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:30:00,Central,燃氣(LNG),2711.2000000000003,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:40:00,Central,燃氣(LNG),2734.6,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 14:50:00,Central,燃氣(LNG),2747.8,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 15:00:00,Central,燃氣(LNG),2753.2000000000003,29.0,5.0,18.0,26.0,3.67,18.0
2025-07-09 15:10:00,Central,燃氣(LNG),2760.2,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 15:20:00,Central,燃氣(LNG),2762.9,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 15:30:00,Central,燃氣(LNG),2759.1,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 15:40:00,Central,燃氣(LNG),2766.3,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 15:50:00,Central,燃氣(LNG),2767.7,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 16:00:00,Central,燃氣(LNG),2765.7,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 16:10:00,Central,燃氣(LNG),2738.4,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 16:20:00,Central,燃氣(LNG),2751.8,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 16:30:00,Central,燃氣(LNG),2762.4,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 16:40:00,Central,燃氣(LNG),2759.5,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 16:50:00,Central,燃氣(LNG),2762.4,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 17:00:00,Central,燃氣(LNG),2731.3,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 17:10:00,Central,燃氣(LNG),2728.6,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 17:20:00,Central,燃氣(LNG),2765.2,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 17:30:00,Central,燃氣(LNG),2762.0,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 17:40:00,Central,燃氣(LNG),2773.4,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 17:50:00,Central,燃氣(LNG),2769.5,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 18:00:00,Central,燃氣(LNG),2769.1,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 18:10:00,Central,燃氣(LNG),2770.7,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 18:20:00,Central,燃氣(LNG),2770.1,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 18:30:00,Central,燃氣(LNG),2773.5,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 18:40:00,Central,燃氣(LNG),2774.6,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 18:50:00,Central,燃氣(LNG),2778.2,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 19:00:00,Central,燃氣(LNG),2775.7000000000003,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 19:10:00,Central,燃氣(LNG),2777.4,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 19:20:00,Central,燃氣(LNG),2779.5,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 19:30:00,Central,燃氣(LNG),2780.3,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 19:40:00,Central,燃氣(LNG),2776.5,26.67,4.33,16.0,26.0,3.67,18.0
2025-07-09 19:50:00,Central,燃氣(LNG),2783.0,26.67,4.33,16.0,26.0,3.67,18.0
