DATETIME,REGION,FUEL_TYPE,NET_P,TEMP_now,WIND_now,W_CODE_now,TEMP_future_12h,WIND_future_12h,W_CODE_future_12h
2025-07-09 00:10:00,Islands,燃油(Oil),59.2,27.0,5.0,9.0,27.0,5.0,18.0
2025-07-09 09:30:00,Islands,燃油(Oil),56.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 09:40:00,Islands,燃油(Oil),55.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 09:50:00,Islands,燃油(Oil),55.0,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:00:00,Islands,燃油(Oil),54.9,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:10:00,Islands,燃油(Oil),55.1,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:20:00,Islands,燃油(Oil),55.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:30:00,Islands,燃油(Oil),56.3,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:40:00,Islands,燃油(Oil),55.9,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 10:50:00,Islands,燃油(Oil),57.1,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:00:00,Islands,燃油(Oil),56.9,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:10:00,Islands,燃油(Oil),57.1,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:20:00,Islands,燃油(Oil),57.2,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:30:00,Islands,燃油(Oil),55.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:40:00,Islands,燃油(Oil),54.2,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 11:50:00,Islands,燃油(Oil),53.1,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 12:00:00,Islands,燃油(Oil),52.4,29.0,6.0,17.0,27.0,5.0,18.0
2025-07-09 12:10:00,Islands,燃油(Oil),52.7,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:20:00,Islands,燃油(Oil),55.2,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:30:00,Islands,燃油(Oil),55.6,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:40:00,Islands,燃油(Oil),54.9,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 12:50:00,Islands,燃油(Oil),55.2,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:00:00,Islands,燃油(Oil),54.1,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:10:00,Islands,燃油(Oil),54.1,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:20:00,Islands,燃油(Oil),52.7,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:30:00,Islands,燃油(Oil),54.0,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:40:00,Islands,燃油(Oil),54.2,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 13:50:00,Islands,燃油(Oil),55.0,27.0,5.0,18.0,29.0,4.0,18.0
2025-07-09 14:00:00,Islands,燃油(Oil),55.3,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 14:10:00,Islands,燃油(Oil),55.8,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 14:20:00,Islands,燃油(Oil),55.8,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 14:30:00,Islands,燃油(Oil),55.4,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 14:40:00,Islands,燃油(Oil),55.9,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 14:50:00,Islands,燃油(Oil),56.9,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 15:00:00,Islands,燃油(Oil),58.1,30.0,10.0,7.0,28.0,10.0,18.0
2025-07-09 15:10:00,Islands,燃油(Oil),59.3,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 15:20:00,Islands,燃油(Oil),60.0,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 15:30:00,Islands,燃油(Oil),59.8,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 15:40:00,Islands,燃油(Oil),60.1,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 15:50:00,Islands,燃油(Oil),61.1,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 16:00:00,Islands,燃油(Oil),60.1,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 16:10:00,Islands,燃油(Oil),61.5,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 16:20:00,Islands,燃油(Oil),62.3,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 16:30:00,Islands,燃油(Oil),62.7,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 16:40:00,Islands,燃油(Oil),62.5,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 16:50:00,Islands,燃油(Oil),63.0,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 17:00:00,Islands,燃油(Oil),63.4,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 17:10:00,Islands,燃油(Oil),63.8,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 17:20:00,Islands,燃油(Oil),64.2,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 17:30:00,Islands,燃油(Oil),65.1,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 17:40:00,Islands,燃油(Oil),66.2,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 17:50:00,Islands,燃油(Oil),66.2,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 18:00:00,Islands,燃油(Oil),66.6,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 18:10:00,Islands,燃油(Oil),67.7,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 18:20:00,Islands,燃油(Oil),67.7,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 18:30:00,Islands,燃油(Oil),68.8,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 18:40:00,Islands,燃油(Oil),69.1,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 18:50:00,Islands,燃油(Oil),70.0,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 19:00:00,Islands,燃油(Oil),71.0,27.0,10.0,17.0,28.0,10.0,18.0
2025-07-09 19:10:00,Islands,燃油(Oil),71.9,27.0,10.0,17.0,28.0,10.0,18.0
